first name,last name ,email,friend first name,friend last name ,friend email,order number ,completed at,state,total amount spent
A,Wong,awong@awong.com,B,Tan,btan@btan.com,10001,2020-01-01 20:46:10 +0800,,88
A,Wong,awong@awong.com,C,Tan,ctan@ctan.com,10002,2020-01-30 03:07:40 +0800,,352
A,Wong,awong@awong.com,D,Tan,dtan@dtan.com,10003,2020-01-01 20:46:10 +0800,,88
A,Wong,awong@awong.com,E,Tan,etan@etan.com,10004,2020-01-30 03:07:40 +0800,,110
A,Wong,awong@awong.com,F,Tan,ftan@ftan.com,10005,2020-01-01 20:46:10 +0800,,88
A,Wong,awong@awong.com,G,Tan,gtan@gtan.com,10006,2020-01-30 03:07:40 +0800,,264
A,Wong,awong@awong.com,B,Tan,btan@btan.com,10007,2020-01-01 20:46:10 +0800,,264
A,Wong,awong@awong.com,B,Tan,btan@btan.com,10008,2020-01-30 03:07:40 +0800,,440
A,Wong,awong@awong.com,B,Tan,btan@btan.com,10009,2020-01-01 20:46:10 +0800,,220
A,Wong,awong@awong.com,B,Tan,btan@btan.com,10010,2020-01-30 03:07:40 +0800,,165
A,Wong,awong@awong.com,B,Tan,btan@btan.com,10011,2020-01-01 20:46:10 +0800,,352
A,Wong,awong@awong.com,C,Tan,ctan@ctan.com,10012,2020-01-30 03:07:40 +0800,,220
A,Wong,awong@awong.com,C,Tan,ctan@ctan.com,10013,2020-01-01 20:46:10 +0800,,88
A,Wong,awong@awong.com,C,Tan,ctan@ctan.com,10014,2020-01-30 03:07:40 +0800,,352
A,Wong,awong@awong.com,D,Tan,dtan@dtan.com,10015,2020-01-01 20:46:10 +0800,,88
A,Wong,awong@awong.com,G,Tan,gtan@gtan.com,10016,2020-01-30 03:07:40 +0800,,110
B,Wong,bwong@bwong.com,A,Tan,atan@atan.com,10017,2020-01-01 20:46:10 +0800,,88
B,Wong,bwong@bwong.com,B,Tan,btan@btan.com,10018,2020-01-30 03:07:40 +0800,,264
B,Wong,bwong@bwong.com,C,Tan,ctan@ctan.com,10019,2020-01-30 03:07:40 +0800,,264
B,Wong,bwong@bwong.com,A,Tan,atan@atan.com,10020,2020-02-02 01:45:50 +0804,,440
B,Wong,bwong@bwong.com,B,Tan,btan@btan.com,10021,2020-02-12 20:46:10 +0805,,220
C,Wong,cwong@cwong.com,C,Tan,ctan@ctan.com,10022,2020-02-02 01:45:50 +0804,,165
C,Wong,cwong@cwong.com,A,Tan,atan@atan.com,10023,2020-02-12 20:46:10 +0805,,352
C,Wong,cwong@cwong.com,B,Tan,btan@btan.com,10024,2020-02-02 01:45:50 +0804,,264
C,Wong,cwong@cwong.com,C,Tan,ctan@ctan.com,10025,2020-02-12 20:46:10 +0805,,264
C,Wong,cwong@cwong.com,A,Tan,atan@atan.com,10026,2020-02-02 01:45:50 +0804,,440
C,Wong,cwong@cwong.com,D,Tan,dtan@dtan.com,10027,2020-02-12 20:46:10 +0805,,220
C,Wong,cwong@cwong.com,D,Tan,dtan@dtan.com,10028,2020-02-02 01:45:50 +0804,,165
C,Wong,cwong@cwong.com,D,Tan,dtan@dtan.com,10029,2020-02-12 20:46:10 +0805,,88
C,Wong,cwong@cwong.com,E,Tan,etan@etan.com,10030,2020-02-02 01:45:50 +0804,,88
C,Wong,cwong@cwong.com,E,Tan,etan@etan.com,10031,2020-02-12 20:46:10 +0805,,88
C,Wong,cwong@cwong.com,E,Tan,etan@etan.com,10032,2020-02-02 01:45:50 +0804,,88
C,Wong,cwong@cwong.com,F,Tan,ftan@ftan.com,10033,2020-02-12 20:46:10 +0805,,88
C,Wong,cwong@cwong.com,F,Tan,ftan@ftan.com,10034,2020-02-02 01:45:50 +0804,,88
C,Wong,cwong@cwong.com,F,Tan,ftan@ftan.com,10035,2020-02-12 20:46:10 +0805,,88
C,Wong,cwong@cwong.com,G,Tan,gtan@gtan.com,10036,2020-02-02 01:45:50 +0804,,88
C,Wong,cwong@cwong.com,G,Tan,gtan@gtan.com,10037,2020-02-12 20:46:10 +0805,,88
C,Wong,cwong@cwong.com,G,Tan,gtan@gtan.com,10038,2020-02-02 01:45:50 +0804,,220
C,Wong,cwong@cwong.com,H,Tan,htan@htan.com,10039,2020-02-12 20:46:10 +0805,,165
C,Wong,cwong@cwong.com,H,Tan,htan@htan.com,10040,2020-02-02 01:45:50 +0804,,88
C,Wong,cwong@cwong.com,H,Tan,htan@htan.com,10041,2020-02-12 20:46:10 +0805,,88
C,Wong,cwong@cwong.com,H,Tan,htan@htan.com,10042,2020-02-02 01:45:50 +0804,,88
C,Wong,cwong@cwong.com,H,Tan,htan@htan.com,10043,2020-02-12 20:46:10 +0805,,88
C,Wong,cwong@cwong.com,B,Tan,btan@btan.com,10044,2020-02-02 01:45:50 +0804,,88
D,Wong,dwong@dwong.com,B,Tan,btan@btan.com,10045,2020-02-12 20:46:10 +0805,,88
D,Wong,dwong@dwong.com,B,Tan,btan@btan.com,10046,2020-03-01 03:07:40 +0800,,88
D,Wong,dwong@dwong.com,B,Tan,btan@btan.com,10047,2020-03-01 03:07:40 +0801,,88
D,Wong,dwong@dwong.com,C,Tan,ctan@ctan.com,10048,2020-03-01 03:07:40 +0802,,88
D,Wong,dwong@dwong.com,C,Tan,ctan@ctan.com,10049,2020-03-01 03:07:40 +0803,,88
D,Wong,dwong@dwong.com,C,Tan,ctan@ctan.com,10050,2020-03-01 03:07:40 +0804,,88
E,Wong,ewong@ewong.com,D,Tan,dtan@dtan.com,10051,2020-03-01 03:07:40 +0805,,264
